Following;	my: 1, 
temples,;	I: 1, 
Angel.;	I: 1, 
noticed,;	if: 1, 
fact;	that: 4, 
suddenly;	a: 1, that: 1, 
Maiden;	(dryder): 1, 
(dryder);	entered: 1, 
entered;	my: 1, 
deep-seated;	association: 1, 
association;	with: 1, 
Maidens;	and: 2, 
glitches;	associated: 1, 
patch,;	since: 1, and: 1, 
introduced;	in: 1, by: 1, 
anti-Angel;	patch.: 1, 
patch.;	UGH.: 1, 
UGH.;	I: 1, 
quit;	and: 1, 
stopped;	playing: 1, immediately: 1, eating: 1, 
What;	is: 2, 
left;	to: 1, the: 1, behind: 1, it: 1, in: 1, 
aspire;	to,: 1, 
to,;	if: 1, 
Fortunately,;	I: 1, we: 1, 
Googling,;	and: 1, 
site;	that: 1, 
outlines;	how: 1, 
problem;	caused: 1, with: 3, to: 1, 
caused;	by: 2, 
provides;	the: 1, 
necessary;	files: 1, 
files;	(from: 1, available: 1, into: 1, 
old,;	non-patched: 1, 
non-patched;	version): 1, 
so.;	Phew!: 1, 
above;	screenshot,: 1, (taken: 1, and: 1, 
screenshot,;	after: 1, 
replacing;	those: 1, 
Warlocks;	are: 1, 
favorites;	forever: 1, 
forever;	and: 1, about: 1, 
ever,;	which: 1, 
must;	have: 3, be: 3, say.: 1, 
gillion;	of: 1, 
researching;	more: 1, 
visualize;	my: 1, some: 1, 
History,;	I: 1, 
Beneath;	the: 2, 
Data’s;	excellent: 1, 
post;	on: 1, was: 1, is: 1, with: 1, 
replicate;	what: 1, 
Tyler;	had: 1, did,: 1, 
figures;	are: 1, instead: 1, that: 1, 
prettier;	than: 1, 
thus;	far),: 1, far: 2, the: 1, far.: 1, 
far),;	and: 1, 
Little;	did: 1, 
send;	me: 1, 
giant;	GIS/shapefile/geography: 1, hill: 1, 
GIS/shapefile/geography;	rabbit: 1, 
rabbit;	hole.: 1, 
takeaway;	from: 1, 
download;	shapefiles: 1, a: 1, those.: 1, any: 1, 
shapefiles;	and: 1, of: 1, with: 1, to: 1, 
instead;	of: 5, took: 1, 
default;	world: 1, map: 1, 
world;	stuff: 1, for: 1, 
using.;	I’ll: 1, 
point,;	I: 1, so: 1, 
Basemap’s;	drawmapboundary(),: 1, default: 1, 
drawmapboundary(),;	drawcoastlines(),: 1, 
drawcoastlines(),;	drawcountries(),: 1, 
drawcountries(),;	etc: 1, 
etc;	were: 1, until: 1, 
cool.;	Not: 1, Lots: 1, 
detailed;	and: 1, 
shapefile,;	though!: 1, and: 1, 
went;	to: 8, with: 1, 20,505: 1, 43,434: 1, way: 1, back: 2, downstairs: 1, downstairs,: 1, home: 2, on: 1, ahead: 1, up: 1, outside: 1, from: 1, camping: 1, into: 2, 
San;	Francisco,: 2, Francisco: 4, 
Francisco,;	California,: 1, alas,: 1, 
California,;	etc.: 1, 
etc.;	I: 1, You: 1, Which,: 1, All: 1, There: 1, And,: 1, 
Shapefiles.;	I: 1, 
ecological;	studies: 1, 
bay,;	but: 1, 
(though;	I: 1, the: 1, 
sorely;	tempted): 1, needed.: 1, 
tempted);	I: 1, 
those.;	Unfortunately,: 1, They: 1, 
Unfortunately,;	this: 1, the: 1, he: 1, 
hit;	my: 1, a: 1, 
snag.;	Apparently,: 1, 
Apparently,;	Seattle: 1, he: 1, 
Seattle;	uploads: 1, this: 1, (after: 1, about: 1, 
uploads;	shapefiles: 1, 
WGS84;	coordinates.: 1, coordinates: 2, and: 1, through: 1, coordinates,: 1, 
coordinates.;	San: 1, 
alas,;	does: 1, 
Anywhere.;	Ever.: 1, 
boundless;	sea: 1, 
sea;	of: 1, (if: 1, cliffs.: 1, 
vector;	files: 1, 
available;	for: 2, on: 1, 
SF,;	but: 1, 
had.;	I: 1, Both: 1, 
researched;	for: 1, places: 1, 
embarrassing;	number: 1, 
convert;	to: 1, shapefiles: 1, them: 1, all: 1, 
calculations;	I: 1, based: 1, 
automate,;	and: 1, 
x,y;	coordinates: 1, 
shapefile;	vectors: 1, that: 1, 
vectors;	were: 1, 
calculated.;	I: 1, 
QGIS;	because: 1, doesn’t: 1, 
somebody;	said: 1, working: 1, 
said;	that: 1, we: 1, “That: 1, 
work.;	Maybe: 1, This: 1, It: 1, 
due;	to: 4, 
inexperience;	with: 1, 
GIS;	and: 1, 
shapefiles,;	or: 1, that: 1, 
function;	that: 1, 
Finally,;	I: 1, 
gdal;	has: 2, 
GeoJSON.;	It: 1, 
command.;	PHEW.: 1, 
PHEW.;	At: 1, 
last,;	I: 1, 
Shapefile;	I: 1, 
wanted,;	and: 1, 
Francisco;	Zip: 1, over: 1, that: 1, and: 1, 
Zip;	Codes: 1, 
Codes;	shapefile,: 1, 
functionality,;	I: 1, 
California;	County: 1, >:(: 1, at: 1, 
County;	shapefile: 1, 
coordinates,;	no: 1, 
conversion;	necessary.: 1, 
necessary.;	ISN’T: 1, 
ISN’T;	THAT: 1, 
THAT;	ALWAYS: 1, bad.: 1, 
ALWAYS;	THE: 1, 
THE;	WAY.: 1, SKY: 3, ABOVE?: 1, 
learning;	about: 1, 
maps;	and: 1, like: 1, 
beyond;	simply: 1, the: 1, that.: 1, 
replicating;	what: 1, 
did,;	but: 1, so: 1, 
data.;	But: 1, I: 1, 
gotten;	all: 1, sucked: 1, 
way,;	making: 1, 
visualizations;	that: 1, 
investigating;	of: 1, pork: 1, 
Timeline;	Data: 1, 
here;	and: 1, no: 1, goes: 1, 
last;	post,: 1, time,: 1, week).: 1, Friday: 1, one.: 1, night: 1, little: 1, year,: 1, inch: 1, thing: 1, night.: 1, two: 1, time: 1, 
post,;	a: 1, 
mine;	pointed: 1, 
pointed;	me: 1, to: 1, out: 1, 
towards;	the: 1, me: 1, Castle: 1, 
formula;	for: 1, 
calculating;	distance: 1, distances: 1, mileage: 1, 
sets;	of: 1, 
calculate;	distances: 1, the: 1, total: 1, how: 1, 
day-by-day;	basis: 1, basis.: 1, 
basis;	that: 1, 
consistently;	close: 1, 
close;	to: 3, 
estimations;	for: 1, 
days.;	Encouraged,: 1, 
Encouraged,;	I: 1, 
moved;	on: 1, into: 1, to: 1, the: 1, him: 1, back: 1, 
per-year;	basis,: 1, 
basis,;	and: 1, which: 1, 
fun.;	I: 3, We: 1, But: 1, Doc: 1, They: 1, 
seemed;	reasonable: 1, like: 3, even: 1, more: 1, to: 2, much: 1, crazy: 1, 
Between;	5/22/15: 1, 9/20/2013: 1, 
5/22/15;	and: 1, 
5/22/16;	I: 2, 
20,505;	miles: 1, 
9/20/2013;	and: 1, 
43,434;	miles: 1, 
these;	are: 2, CSV: 1, keep: 1, people: 1, songs: 1, characters: 1, were: 1, jars,: 1, 
movement,;	including: 1, 
airplanes.;	So: 1, 
recently,;	due: 1, he: 1, and: 1, 
recent;	airplane: 1, 
airplane;	trips.: 1, 
numbers;	seem: 1, 
high;	(~60: 1, sulfur: 1, salt: 1, risk: 1, 
(~60;	miles: 1, 
~45;	miles: 1, 
day),;	this: 1, 
matplotlib;	to: 1, 
plot;	the: 2, 
load;	JSON: 1, these: 1, 
JSON;	data.: 1, 
assigned;	“activity.”: 1, to: 1, 
“activity.”;	True: 1, 
True;	to: 1, 
word,;	I: 1, 
“highest;	likelihood: 1, 
likelihood;	activities,”: 1, 
activities,”;	and: 1, 
discarded;	all: 1, 
ones.;	To: 1, 
1,048,575;	position: 1, lines: 1, timepoints: 1, 
position;	data: 1, 
points.;	Well,: 1, 
quarter.;	Still,: 1, 
Still,;	it: 1, 
enough;	data: 1, to: 2, of: 1, moisture).: 1, curd.: 1, (and: 1, sugars: 1, from: 1, 
activity,;	it: 1, 
turns;	out: 6, out!: 1, into: 1, 
segregated;	by: 1, 
CSV,;	because: 1, 
individually.;	And: 1, 
CSV;	files: 1, intermediary,: 1, 
plotting;	–: 1, 
bother;	with: 1, trying: 1, 
intermediary,;	and: 1, 
straight;	from: 1, up: 1, down: 1, back: 1, 
geoJSON;	file.: 2, 
plotted;	onto: 1, the: 1, 
onto;	Basemap’s: 1, the: 1, their: 1, 
categories;	–: 1, 
mysterious;	“tilting,”: 1, pretenses,: 1, 
“tilting,”;	but: 1, 
discern;	any: 1, 
meaning;	from: 1, 
everywhere;	I’ve: 1, that: 1, 
been,;	and: 1, 
meaningful.;	Not: 1, 
dramatic;	differences: 1, in: 1, 
differences;	between: 1, 
routes;	for: 1, 
biking,;	on: 1, 
vehicle,;	or: 1, 
walking.;	So,: 1, 
success.;	So: 1, 
spend;	doing: 1, in: 1, the: 1, a: 3, all: 1, 
activity.;	And: 1, 
time.;	All: 1, If: 1, I: 2, Meg: 1, 
won’t;	be: 3, have: 1, let: 1, form: 1, really: 1, 
straightforward;	to: 1, enough: 1, 
subtract;	the: 1, 
timestamps;	to: 1, that: 1, 
ΔT.;	It: 1, 
“no;	activity”: 2, 
activity”;	points,: 1, points: 1, 
things,;	and: 1, we: 1, 
original;	activity: 1, estimates,: 1, world: 1, plan: 1, to: 1, 
(in;	which: 1, the: 2, 
calculated;	ΔT: 1, 
ΔT;	would: 1, 
incorrect).;	But,: 1, 
bookended;	by: 1, 
wondering;	if,: 1, 
if,;	given: 1, 
uploaded;	every: 1, 
60;	seconds,: 1, seconds?: 1, 
timepoint;	=: 1, I: 1, 
=;	60: 1, 
seconds?;	That: 1, 
smaller;	data: 1, 
comes;	close: 1, 
accurate.;	I’ll: 1, 
suggestions;	on: 1, for: 1, 
problem,;	feel: 1, 
collected;	by: 1, 
Timeline,;	and: 1, 
aggregates;	are: 1, 
available!;	You: 1, 
you’ve;	biked: 1, spent: 1, never: 1, 
biked;	this: 1, on: 1, 
year,;	or: 1, but: 1, too,: 1, I’m: 1, 
office,;	or: 1, 
walking,;	etc.: 1, 
day-per-day;	basis,: 1, 
interesting,;	but: 1, 
usually;	already: 1, have: 1, I: 1, halophilic: 1, 
instinctual;	idea: 1, 
basis.;	I’d: 1, 
totally;	surprised: 1, unphased.: 1, native: 1, 
surprised;	by: 1, the: 1, me.: 1, that: 1, me,: 1, 
downloaded;	my: 1, 
raw;	data: 1, versus: 1, cheese: 3, milk: 6, 
Takeout;	to: 1, 
try;	and: 2, to: 2, my: 1, 
with,;	and: 1, 
humongous;	geoJSON: 1, 
file.;	But: 1, 
laid;	out: 1, 
format;	of: 1, makes: 1, was: 1, 
unique;	timestamp: 1, flavor.: 1, 
timestamp;	taken,: 1, 
taken,;	with: 1, 
point.;	In: 1, 
timestamp,;	latitude/longitude: 1, 
(E7),;	and: 1, 
“activities,”;	with: 1, 
“confidence”;	that: 1, 
listed;	was: 1, in: 1, 
one…;	being: 1, 
done.;	They: 1, So: 1, All: 1, The: 1, 
100%,;	if: 1, 
assume;	that: 1, for: 1, 
“on;	foot”: 1, 
foot”;	is: 1, 
“walking,”;	but: 1, 
clear;	to: 1, boiling.: 1, 
both;	get: 1, Altmer.: 1, the: 1, thankful: 1, wanted: 1, 
obvious.;	But: 1, 
“tilting”;	and: 1, 
Sometimes;	you: 1, 
velocity,;	altitude,: 1, 
altitude,;	and: 1, 
heading.;	But: 1, 
usually.;	Note:: 1, 
velocity;	is: 1, 
kmph;	or: 1, 
distances.;	Which: 1, 
guess;	I’ll: 1, feel: 1, it: 2, that: 1, what: 1, everybody: 1, we: 1, what?: 1, that’s: 1, 
consider;	the: 2, 
associated,;	and: 1, because: 1, 
simplicity’s;	sake: 2, 
sake;	I’ll: 1, in: 1, and: 1, that: 1, 
considering;	the: 1, 
highest;	“confidence.”: 1, 
“confidence.”;	With: 1, 
With;	that: 1, their: 1, this: 1, 
method,;	it: 1, 
times.;	Distances…: 1, 
Distances…;	not: 1, 
easy,;	mostly: 1, so: 1, whimsically: 1, 
mostly;	because: 1, needed: 1, seemed: 1, expected: 1, be: 1, 
worked;	with: 1, pretty: 1, 
much.;	But: 1, I: 1, 
module;	out: 1, 
handling;	that,: 1, latitude/longitude: 1, 
learn;	too: 1, in: 1, enough: 1, that: 1, 
timepoints;	with: 1, for: 1, don’t: 1, 
lat/long;	into: 1, that: 1, 
human;	dates: 1, and: 1, 
dates;	with: 1, 
not…;	E7.: 1, 
E7.;	So: 1, 
lines;	formatted: 1, 
2016-05-22;	T14:58:35-07:00: 1, 
T14:58:35-07:00;	37.7570186,: 1, 
37.7570186,;	-122.4204018: 1, 
2013-09-20;	T08:18:54-07:00: 1, 
T08:18:54-07:00;	37.7650828,: 1, 
37.7650828,;	-122.4172515: 1, 
overlays;	of: 1, 
days,;	etc.: 1, 
realize,;	is…: 1, 
is…;	baaaasically: 1, frustrating.: 1, 
baaaasically;	exactly: 1, 
But!;	My: 1, Lots: 1, 
year;	were: 1, I: 1, I’ve: 1, has: 1, 
(walking/biking/driving/etc).;	There: 1, 
fewer;	than: 1, 
counter;	yet,: 1, 
those,;	I: 1, 
know.;	Otherwise,: 1, 
Otherwise,;	I’ll: 1, 
Update;	6/5/2016:: 1, 
ongoing;	saga: 1, 
saga;	of: 1, 
continues;	here…: 1, 
weekend;	in: 1, rolled: 1, will: 1, backcountry: 1, 
West;	Marin.: 1, 
dinner;	event: 1, at: 1, ;): 1, 
event;	at: 1, 
Heiðrún;	Meadery: 1, meads.: 1, 
Meadery;	featuring: 1, 
featuring;	the: 1, 
food;	of: 1, in: 2, be: 1, 
Fine;	&: 1, 
&;	Rare: 1, Izakaya: 1, 
Rare;	paired: 1, 
meads.;	It: 1, 
magical;	having: 1, 
meal;	in: 1, 
Heiðrún’s;	gardens,: 1, 
gardens,;	surrounded: 1, 
surrounded;	by: 2, 
bees;	floating: 1, 
floating;	around: 1, 
flowers;	everywhere.: 1, on: 1, and: 1, 
everywhere.;	At: 1, 
night;	we: 1, before: 1, time,: 1, market.: 1, and: 1, as: 1, 
roast;	marshmallows: 1, (as: 1, them).: 1, 
marshmallows;	over: 1, to: 1, so: 1, are: 1, 
Since;	we: 3, it: 1, the: 2, fermentation: 1, 
anticipating;	drinking: 1, 
drinking;	a: 1, hot: 1, 
(since;	it: 1, 
mead;	event,: 1, 
event,;	after: 1, but: 1, 
all),;	we: 1, 
booked;	a: 1, 
room;	at: 2, 
Ligonberry;	Farms,: 1, 
Farms,;	where: 1, 
raise;	sheep: 1, her: 1, 
sheep;	and: 1, 
alpaca;	for: 1, 
wool;	and: 1, 
fiber;	making!: 1, 
making!;	This: 1, 
drive;	back: 1, 
state.;	This: 1, 
relaxing;	and: 1, 
Sunday,;	we: 1, 
short;	~5: 1, 
~5;	mile: 1, 
mile;	hike: 1, 
hike;	in: 1, was: 1, the: 1, every: 1, 
Point;	Reyes: 1, 
Reyes;	National: 1, 
National;	Seashore.: 1, 
Seashore.;	And: 1, 
City;	on: 1, 
photography;	talk!: 1, 
Magic;	School: 1, 
School;	Bus: 1, 
Bus;	is: 1, 
Netflix.;	I: 1, 
episode;	memorized: 1, 17: 1, 
memorized;	from: 1, 
childhood,;	and: 1, 
help;	but: 2, 
watch;	a: 1, the: 1, 
again!;	It: 1, 
definitely;	brought: 1, be: 1, not: 1, 
brought;	back: 1, 
memories.;	This: 1, 
formative;	part: 1, 
early;	years!: 1, as: 1, on: 1, this: 1, 
cartoons;	way: 1, 
much,;	I’ll: 1, much: 1, 
Ugh,;	so: 1, 
nicer;	and: 1, 
becoming;	an: 1, a: 1, 
increasingly;	attractive: 1, 
attractive;	option: 1, 
option;	to: 1, 
bike;	to: 2, was: 2, rack,: 1, is: 1, between: 1, tire: 1, back: 1, 
Mission;	Bicycle: 1, Street.: 1, 
Bicycle;	got: 1, 
stolen;	from: 1, 
garage.;	I’m: 1, 
assuming;	that: 1, these: 1, 
our;	neighbors: 1, neighbor: 1, property: 1, neighbor’s: 1, skates!: 1, favourite: 1, favorite: 2, second: 1, resident: 1, marshmallow: 1, main: 1, lives: 1, show: 1, brine),: 1, pantry: 1, apartment,: 1, old: 1, other: 1, 
neighbors;	left: 1, 
garage;	door: 1, (in: 1, 
door;	open: 1, 
notice;	it: 1, this: 1, the: 1, 
downstairs;	to: 1, 
morning.;	My: 1, 
gone,;	and: 1, 
doors;	were: 1, 
closed.;	My: 1, 
helmet;	was: 1, 
strewn;	out: 1, 
floor.;	Other: 1, 
Other;	than: 1, 
sign;	of: 4, 
bike.;	But: 1, Unlike: 1, 
neighbor;	just: 1, 
downstairs,;	noticed: 1, 
mistake,;	and: 1, 
closed;	the: 1, to: 1, 
contacted;	our: 1, 
property;	manager: 1, 
manager;	and: 1, 
asked;	for: 1, 
rack,;	just: 1, 
neighbor’s;	garage: 1, 
presumably;	they: 1, 
complained;	enough: 1, 
rack;	installed),: 1, of: 1, 
installed),;	but: 1, 
heard;	anything: 1, that: 1, all: 1, of: 1, 
registered;	here,: 1, 
here,;	so: 1, complete: 1, 
police);	know!: 1, 
loved;	that: 1, because: 1, my: 1, me: 1, 
Unlike;	Bikey: 1, homemade: 1, 
Bikey;	Red,: 1, 
Red,;	which: 1, 
piece;	of: 2, gets: 1, 
crap;	and: 1, 
endearing,;	this: 1, 
amazing;	and: 1, band: 1, musician: 1, clothes: 1, book,: 1, 
screencap;	from: 1, 
Morrowind;	randomly,: 1, without: 1, lately,: 1, loved: 1, 
randomly,;	and: 1, 
funny;	that: 1, how: 1, 
remember;	about: 1, when: 1, 
screenshot;	is: 1, 
whilst;	lugging: 1, the: 2, not: 2, other: 1, I: 1, 
lugging;	around: 1, 
humongo;	Daedric: 1, 
Daedric;	War: 1, 
Axe;	that: 1, 
worth;	a: 1, the: 1, it: 1, 
gold;	but: 1, 
weighed;	more: 1, 
vendor;	to: 1, 
unload;	it: 1, 
ASAP.;	I: 1, 
Molag;	Mar.: 1, 
talking;	to: 1, about: 3, 
redhead;	Altmer: 1, 
Altmer;	about: 1, forever.: 1, Dragonborn: 3, must: 1, show: 1, behaving: 1, are: 1, you’ve: 1, 
Ordinator;	ran: 1, stood: 1, 
behind;	him: 1, in: 1, 
shouted;	at: 1, 
leave;	him: 1, the: 1, a: 1, through: 1, 
alone;	or: 1, 
something.;	And: 1, 
stood;	there: 1, 
staring;	at: 2, 
forever.;	I: 1, 
funniest;	thing: 1, 
translate;	into: 1, 
picture,;	as: 1, 
Somehow,;	Doc: 1, 
forgotten;	that: 1, to: 1, my: 1, about: 1, 
today;	was: 1, I: 1, so: 1, because: 1, 
Sunday;	Streets.: 3, Streets…: 1, 
Streets.;	Luckily,: 1, It: 1, I: 1, 
Luckily,;	we: 1, I: 1, it: 1, 
headed;	over: 1, 
Ritual;	to: 1, 
hang;	out: 1, 
morning,;	and: 1, though.: 1, 
closures.;	Well,: 1, 
roller;	skates: 1, 
skates;	that: 1, like: 1, from: 1, justice.: 1, 
purchased;	from: 1, 
Schauplatz;	at: 1, 
Streets…;	years: 1, 
years;	ago.: 1, since: 1, now: 1, to: 1, back,: 1, now.: 1, of: 1, 
Ritual,;	we: 1, 
skates!;	And: 1, 
afternoon;	skating: 1, 
skating;	around: 1, 
skating,;	and: 1, there’s: 1, 
fun!;	I: 1, 
mean,;	if: 1, “wrap: 1, I: 1, just: 2, for: 1, 
learn/get;	comfortable: 1, 
comfortable;	with: 1, 
Also,;	a: 1, it: 1, lots: 1, 
skates.;	They: 1, 
commented;	on: 1, 
seen;	skates: 1, before: 1, the: 1, them: 1, 
years.;	Which: 1, 
Schauplatz,;	which: 1, 
sells;	vintage: 1, 
vintage;	stuff.: 1, 
stuff.;	Too: 1, It: 1, 
Too;	bad: 1, 
bad;	I: 1, way.: 1, for: 2, or: 1, 
justice.;	One: 1, 
Today;	I: 2, Doc: 1, my: 1, we: 1, 
hiked;	to: 1, 
Alamere;	Falls: 1, 
Falls;	via: 1, 
Bear;	Valley: 2, 
Valley;	Trail: 2, 
Trail;	with: 2, about: 1, Camp: 1, 
Jon!;	It: 1, 
beautiful;	and: 1, sight.: 1, that: 1, on: 1, 
spectacular;	hike,: 1, 
hike,;	~15: 1, 
~15;	miles: 1, 
favourite;	part: 1, 
section;	of: 2, because: 1, 
4;	miles: 1, –: 1, or: 1, off: 1, wallpaper.: 2, that: 1, 
in.;	There: 1, A: 1, I: 1, This: 1, 
steep;	sections,: 1, and: 1, 
sections,;	but: 1, 
views;	were: 1, of: 1, 
spectacular.;	However,: 1, 
However,;	on: 1, I: 1, it: 1, a: 1, 
back,;	we: 1, except: 1, and: 1, I: 1, 
skipped;	that: 1, 
Stewert;	to: 1, 
Glen;	trails: 1, 
trails;	and: 2, 
mellower,;	but: 1, 
rolled;	a: 2, an: 1, around: 1, 
male;	Altmer: 1, 
Dragonborn;	recently: 2, into: 1, walked: 1, because: 1, actually: 1, can’t: 1, 
sidequesting;	my: 1, 
female;	Dunmer: 1, 
Dunmer;	Dragonborn: 1, are: 1, bard: 1, and: 1, female,: 1, shopkeep: 1, named: 1, like: 1, 
adventures.;	Just: 1, 
Just;	recently,: 1, as: 1, 
Nelacar;	would: 1, was: 1, immediately: 1, that: 1, and: 1, think: 1, 
Altmer.;	I: 1, 
least.;	But: 1, 
aloof;	and: 1, dismissal: 1, 
dismissive;	of: 1, 
him,;	just: 1, he: 1, totally: 1, 
race.;	Frankly,: 1, 
Frankly,;	he: 1, 
Nelacar.;	Until: 1, 
Until;	one: 1, 
walked;	into: 1, along: 1, about: 1, 
inn;	for: 1, 
business,;	and: 1, 
approached;	him: 1, 
saying,;	“When: 1, 
“When;	I: 1, 
you!;	Take: 1, 
Take;	it: 1, 
token;	of: 1, 
gratitude”;	and: 1, 
pressed;	a: 1, 
Breton;	cookbook: 1, 
cookbook;	titled: 1, make: 1, 
titled;	“Uncommon: 1, “Please: 1, 
“Uncommon;	Taste”: 1, 
Taste”;	into: 1, 
Dragonborn’s;	hands.: 1, 
hands.;	Which: 1, 
thoughtful;	gift,: 1, 
gift,;	as: 1, 
warm;	gesture.: 1, as: 1, 
Now,;	I: 3, whenever: 1, 
Azura’s;	Star: 1, 
Star;	quest: 1, Trek: 2, Trek:: 1, 
quest;	line: 1, 
line;	yet: 1, for: 1, which: 1, 
Part;	of: 1, 
thinks;	this: 1, 
affinity;	for: 1, 
high.;	But: 1, 
buds,;	and: 1, 
cold,;	aloof: 1, 
dismissal;	is: 1, 
behaving;	in: 1, 
outright;	hostility: 1, 
hostility;	is: 1, 
wonder,;	why: 1, 
Dragonborn?;	Does: 1, 
Does;	he: 1, 
cooking?;	Traveling?: 1, 
Traveling?;	Eating: 1, 
Eating;	exotic: 1, 
exotic;	foods?: 1, 
foods?;	Maybe: 1, 
cook;	one: 1, in: 1, so: 1, the: 1, 
recipes;	together: 1, 
GUISE.;	Our: 1, 
brie;	turned: 1, and: 1, again!: 1, that: 1, is: 3, making,: 1, or: 1, 
absolutely,;	deliciously: 1, 
deliciously;	amazing.: 1, 
amazing.;	I: 1, Absolutely: 1, Like,: 1, It: 1, And,: 1, 
earlier;	mishap: 1, when: 1, 
mishap;	and: 1, 
“totally;	adequate: 1, 
adequate;	brie”: 1, 
brie”;	by: 1, 
aging;	it: 1, time,: 1, process: 1, 
fridge.;	But: 1, I: 1, 
tasted;	like: 1, nothing: 1, really: 1, over: 1, them: 1, 
amazing,;	high-end: 1, but: 1, what: 1, complex,: 1, 
high-end;	brie: 1, 
ooey-gooey;	runny: 1, 
runny;	soft.: 1, one: 1, 
soft.;	Mmmmmmm.: 1, 
Mmmmmmm.;	Add: 1, 
Add;	the: 1, 
easier;	than: 1, to: 1, 
cheddar;	and: 1, etc,: 1, was: 3, today!: 1, production,: 1, 
age;	as: 1, for: 1, the: 1, one: 1, over: 1, 
long,;	I: 1, 
Here;	are: 1, you: 2, is: 2, 
forms;	of: 1, 
brie,;	by-the-way.: 1, 
mentioned;	earlier,: 1, 
earlier,;	but: 1, 
rounds;	of: 1, 
moisture;	and: 1, kept: 1, content: 1, sitting: 1, 
softer,;	whilst: 1, 
firmer.;	The: 1, 
instructions;	were: 1, from: 1, 
vague;	as: 1, 
firm;	they: 1, enough: 1, 
be,;	so: 1, having: 1, 
barely;	handled: 1, been: 1, started: 1, 
handled;	at: 1, a: 1, 
flipping;	them: 1, 
soft;	runny: 1, and: 3, spot: 1, 
(somewhat;	visible: 1, 
visible;	in: 1, 
foreground;	here): 1, 
here);	was: 1, 
extravagantly;	soft: 1, 
pungent;	and: 1, 
flavorful;	as: 1, 
cheese,;	because: 2, thereby: 1, otherwise: 1, 
ripens;	faster: 1, 
faster;	with: 1, up: 1, 
moisture.;	It: 1, 
mottling;	on: 1, 
rind;	because: 1, 
seeping;	out: 1, 
throughout;	the: 1, 
ripening;	process.: 1, 
process.;	The: 1, 
firmer;	(the: 1, 
focus;	in: 1, 
photo);	one: 1, 
milder;	in: 1, 
flavor,;	more: 1, 
tried;	before,: 2, fixing: 1, it.: 1, to: 2, keeping: 1, staying: 1, 
luxuriantly;	soft: 1, 
gooey;	compared: 1, 
bries;	I’ve: 1, 
affected;	the: 1, 
final;	product.: 1, product: 1, 
yarn;	that: 1, 
wildflowers;	on: 1, 
green;	field,: 1, beans: 1, 
field,;	so: 1, 
scarf;	with: 1, 
We’ve;	already: 1, 
pickles;	that: 1, came: 1, 
January.;	Thus: 1, 
Thus;	far: 2, 
favorite;	pickles: 1, sauerkraut: 1, :): 1, thrift: 1, 
“spicy;	pickle: 1, 
pickle;	grab: 1, 
grab;	bag”: 1, 
bag”;	that: 1, 
leftover;	vegetables: 1, 
vegetables;	that: 1, escape: 1, feels: 1, into: 1, will: 1, is: 1, 
fit;	into: 1, 
jars,;	plus: 1, and: 1, 
habanero;	peppers: 1, 
peppers;	that: 1, 
guacamole;	but: 1, because: 1, 
it’d;	be: 1, 
spicy;	(and: 1, piece: 1, roll,: 2, one,: 1, one.: 1, 
jalapeño;	in: 1, 
guac;	instead).: 1, 
pickled;	habaneros.: 1, 
habaneros.;	I’m: 1, 
they’ve;	mellowed,: 1, FINALLY: 1, 
mellowed,;	but: 1, 
beans;	which: 1, 
pickling;	next: 1, 
habaneros;	turned: 1, 
darn;	spicy!: 1, good.: 1, 
month,;	I’m: 1, 
chugging;	along.: 1, 
along.;	I’m: 1, 
excited;	to: 2, for: 1, about: 2, 
recall,;	my: 1, two: 1, 
sauerkraut;	was: 2, juice.: 1, with: 1, out: 1, I: 1, and: 1, better.: 1, 
“ancient;	sauerkraut”: 1, 
sauerkraut”;	that: 1, 
forgot;	about: 1, to: 1, 
fermenting;	for: 1, a: 1, vegetables: 1, 
6;	months: 1, pieces: 1, 
months;	before: 2, back: 1, than: 1, (November: 1, 
Iceland.;	I’ve: 1, It: 1, 
Iceland;	for: 1, is: 2, has: 1, 
15;	years: 1, 
desperately;	wanted: 1, 
visit,;	but: 1, 
suppose;	I: 1, I’ll: 1, neither: 1, 
overlap;	of: 1, 
opportunity,;	means,: 1, 
expecting:;	the: 1, 
Absolutely;	amazing.: 1, 
fancy;	restaurant,: 1, 
restaurant,;	a: 1, 
truck;	stop: 2, quickly.: 1, 
nowhere,;	a: 1, 
tourist;	trap,: 1, 
trap,;	a: 1, 
dive,;	etc.: 1, 
cooks;	went,: 1, 
went,;	“Yea,: 1, 
“Yea,;	I: 1, 
nowhere;	and: 1, 
what,;	but: 2, 
dangit;	I’m: 1, 
darndest;	and: 1, 
can!”;	Even: 1, 
gas;	station: 1, 
station;	hotdogs: 1, 
hotdogs;	were: 1, 
good.;	It: 1, Let: 1, 
amazing!;	How: 1, 
How;	can: 1, did: 1, will: 1, 
universally;	good?: 1, 
good?;	I: 1, 
wonder;	if: 2, 
fresh;	and: 1, water.: 1, water: 1, 
hormones;	and: 1, 
preservatives,;	or: 1, 
takes;	cooking: 1, 
cooking;	seriously,: 1, 
seriously,;	or: 1, 
combo.;	Either: 1, 
Either;	way: 1, 
perfect;	weather.: 1, and: 1, gender: 1, 
weather.;	For: 1, 
warm,;	and: 1, 
gets;	over: 1, severely: 1, confused: 1, so: 1, the: 1, to: 2, less: 1, 
75F;	I: 1, 
melt.;	Whenever: 1, 
outside,;	the: 1, 
